No_Wj,Author,Title,Site,CUE,PFT,PFT,Latitude,longitude,tmp(℃),pre (mm),Substrate,Chemical formula,γs,Substrate,Substrate,Amount (ug),note,Incubation Time (day/h),Temperature(℃),Method,Other treatment,subtreatment,Soil horizon(cm),pH,C/N,CUE%,Error,Data location,Calculation method
1,Roberts,Microbial and plant uptake of free amino sugars in grassland soils,"Henfaes Experimental Station, Abergwyngregyn, UK (53o14'N 4o1'W)",0.96 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,10.00 ,,Eutric Cambisol(soil type),substrate concentration: 8.90207715133531,,6.10 ,,,,Fig2,Directly extracted
2,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,23.74 ,,6.10 ,,,,Fig2,Directly extracted
3,,,,0.92 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,77.15 ,,6.10 ,,,,Fig2,Directly extracted
4,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,100.89 ,,6.10 ,,,,Fig2,Directly extracted
5,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,246.29 ,,6.10 ,,,,Fig2,Directly extracted
6,,,,0.94 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,501.48 ,,6.10 ,,,,Fig2,Directly extracted
7,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,747.77 ,,6.10 ,,,,Fig2,Directly extracted
8,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,1000.00 ,,6.10 ,,,,Fig2,Directly extracted
9,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,8.90 ,,6.10 ,,,,Fig2,Directly extracted
10,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,20.77 ,,6.10 ,,,,Fig2,Directly extracted
11,,,,0.94 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,50.45 ,,6.10 ,,,,Fig2,Directly extracted
12,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,74.18 ,,6.10 ,,,,Fig2,Directly extracted
13,,,,0.99 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,97.92 ,,6.10 ,,,,Fig2,Directly extracted
14,,,,0.91 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,249.26 ,,6.10 ,,,,Fig2,Directly extracted
15,,,,0.87 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,498.52 ,,6.10 ,,,,Fig2,Directly extracted
